id	name	cat	url	path	dir	cat_url	ord	code1	dlina	code2	code3	prim	prim2	price1	price1_name	price2	price2_name	price3	price3_name	price4	price4_name	img_path	img1	img2	img3	img4	img5	desc	Comment	par1	text1	par2	text2	par3	text3	par4	text4	par5	text5	par6	text6	par7	text7	par8	text8	par9	text9	par10	text10	par11	text11	par12	text12	par13	text13	par14	text14	par15	text15	w	h	l	m
3	Вал карданный 	АЛТАЙСКИЙ ТРАКТОР	kardan_14.2201011	/kardanyi_valy/catalog/altajskij-traktor/	/kardanyi_valy/catalog/altajskij-traktor/	altajskij-traktor	1	14.2201011	1619		14.2201011 вал карданный	спецтехника		7 400	завод 'Иннова' Н.Челны					4 800	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	4510	Макс. крутящий момент без разрушения, Н•м	5880	Внутренний диаметр и толщина стенки трубы, мм	71 хЗ	Диаметр окружности описанной элементами шарнира, мм	160	Угол поворота в шарнире 1, °	22	Угол поворота в шарнире 2, °	22	Масса, кг	23.7	Длина в полностью сжатом положении, мм	1619	Рабочий ход в шлицевой паре, мм	90	Фланец	695Н-2201023	Крестовина	130-2201025-02									0.2	0.2	1,62	23.7
5	Вал карданный 	АЛТАЙСКИЙ ТРАКТОР	kardan_t4.36.023-2	/kardanyi_valy/catalog/altajskij-traktor/	/kardanyi_valy/catalog/altajskij-traktor/	altajskij-traktor	1	Т4.36.023-2	615		Т4.36.023-2 вал карданный	вал &quot;малый&quot; для  тракторов ТТ-4, ТТ-4М		6 000	завод 'Иннова' Н.Челны							/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	4510	Макс. крутящий момент без разрушения, Н•м	5880	Внутренний диаметр и толщина стенки трубы, мм	71 хЗ	Диаметр окружности описанной элементами шарнира, мм	160	Угол поворота в шарнире 1, °	15	Угол поворота в шарнире 2, °	15	Масса, кг	13	Длина в полностью сжатом положении, мм	615	Фланец	695Н-2201023	Крестовина	130-2201025-02	Вилка скользящая	Т4.36.110А									0.2	0.2	0,62	13
9	Вал карданный 	БЕЛАЗ	kardan_33521-2201006-01	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		33521-2201006-01	1934		#N/A			23 000	завод 'Иннова' Н.Челны					13 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	1700	Макс. крутящий момент без разрушения, Н•м	2000	Внутренний диаметр и толщина стенки трубы, мм	71х1.6	Диаметр окружности описанной элементами шарнира, мм	103	Угол поворота в шарнире 1, °	15	Угол поворота в шарнире 2, °	15	L1, мм	794.1	L2, мм	88.3	Масса, кг	14.44	Длина в полностью сжатом положении, мм	1934	Рабочий ход в шлицевой паре, мм	54	Фланец	36-2201023	Крестовина	3102-2201025-01	Опора	31029-2202080-20			0.15	0.15	1,94	14.44
11	Вал карданный 	БЕЛАЗ	kardan_33522-2201006	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		33522-2201006	1798		#N/A			22 000	завод 'Иннова' Н.Челны					13 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	1700	Макс. крутящий момент без разрушения, Н•м	2000	Внутренний диаметр и толщина стенки трубы, мм	71х1.6	Диаметр окружности описанной элементами шарнира, мм	103	Угол поворота в шарнире 1, °	15	Угол поворота в шарнире 2, °	15	L1, мм	658.1	L2, мм	88.3	Масса, кг	14.05	Длина в полностью сжатом положении, мм	1798	Рабочий ход в шлицевой паре, мм	54	Фланец	36-2201023	Крестовина	3102-2201025-01	Опора	31029-2202080-20			0.15	0.15	1,8	14.05
13	Вал карданный 	БЕЛАЗ	kardan_3353-2201006-01	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		3353-2201006-01	1834		#N/A			22 000	завод 'Иннова' Н.Челны					13 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	1700	Макс. крутящий момент без разрушения, Н•м	2000	Внутренний диаметр и толщина стенки трубы, мм	71х1.6	Диаметр окружности описанной элементами шарнира, мм	103	Угол поворота в шарнире 1, °	15	Угол поворота в шарнире 2, °	15	L1, мм	794.1	L2, мм	88.3	Масса, кг	14.12	Длина в полностью сжатом положении, мм	1834	Рабочий ход в шлицевой паре, мм	54	Фланец	36-2201023	Крестовина	3102-2201025-01	Опора	31029-2202080-20			0.15	0.15	1,84	14.12
15	Вал карданный 	БЕЛАЗ	kardan_33721-2201006	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		33721-2201006	1834		#N/A			16 000	завод 'Иннова' Н.Челны					8 800	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	1700	Макс. крутящий момент без разрушения, Н•м	2000	Внутренний диаметр и толщина стенки трубы, мм	71х1.6	Угол поворота в шарнире 1, °	15	Угол поворота в шарнире 2, °	15	L1, мм	694.1	L2, мм	88.3	Масса, кг	14.15	Длина в полностью сжатом положении, мм	1834	Рабочий ход в шлицевой паре, мм	54	Фланец	36-2201023	Крестовина	3102-2201025	Опора	31029-2202080-20					0.245	0.245	1,84	14.15
17	Вал карданный 	БЕЛАЗ	kardan_531-2201010-03	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		531-2201010-03	694		531-2201010-03 вал карданный			25 200	завод 'Иннова' Н.Челны					22 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	13000	Макс. крутящий момент без разрушения, Н•м	18000	Внутренний диаметр и толщина стенки трубы, мм	105х6	Угол поворота в шарнире 1, °	18	Угол поворота в шарнире 2, °	18	Масса, кг	54.3	Длина в полностью сжатом положении, мм	694	Рабочий ход в шлицевой паре, мм	47	Крестовина	7522-2201025	Опора	540-2201049-Б											0.245	0.245	0,7	54.3
19	Вал карданный 	БЕЛАЗ	kardan_531-2208010-12	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		531-2208010-12	1009		531-2208010-12 вал карданный	вал коробки отбора мощности БелАЗ-75122 (г/п - 120 тн), БелАЗ-7530 (г/п - 200 тн).		14 400	завод 'Иннова' Н.Челны					7 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	12500	Макс. крутящий момент без разрушения, Н•м	18000	Внутренний диаметр и толщина стенки трубы, мм	94х4	Диаметр окружности описанной элементами шарнира, мм	220	Угол поворота в шарнире 1, °	23	Угол поворота в шарнире 2, °	23	Масса, кг	41.5	Длина в полностью сжатом положении, мм	1009	Рабочий ход в шлицевой паре, мм	44	Фланец	540-2208049-11	Крестовина	53205-2205025-01									0.25	0.25	1,01	41.5
21	Вал карданный 	БЕЛАЗ	kardan_531-2208010-11	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		531-2208010-11	1009		#N/A			14 400	завод 'Иннова' Н.Челны					7 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	8300	Макс. крутящий момент без разрушения, Н•м	12500	Внутренний диаметр и толщина стенки трубы, мм	82x3.5	Диаметр окружности описанной элементами шарнира, мм	220	Угол поворота в шарнире 1, °	23	Угол поворота в шарнире 2, °	23	Масса, кг	40.9	Длина в полностью сжатом положении, мм	1009	Рабочий ход в шлицевой паре, мм	44	Аналог вала №	531-2208010-12	Фланец	540-2208049-11	Крестовина	53205-2205025-01							0.25	0.25	1,01	40.9
23	Вал карданный 	БЕЛАЗ	kardan_540-2201010-30	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		540-2201010-30	936		#N/A			25 500	завод 'Иннова' Н.Челны					22 000	восстановленный	/kardanyi_valy/img/kamkardan/	540-2201010-936mm.jpg							Макс. крутящий момент без деформации, Н•м	13000	Макс. крутящий момент без разрушения, Н•м	18000	Внутренний диаметр и толщина стенки трубы, мм	105 х 6	Диаметр окружности описанной элементами шарнира, мм	220	Угол поворота в шарнире 1, °	18	Угол поворота в шарнире 2, °	18	Масса, кг	58	Длина в полностью сжатом положении, мм	936	Рабочий ход в шлицевой паре, мм	47	Фланец	8*14*205*230	Крестовина	7522-2201025									0.25	0.25	0,94	58
25	Вал карданный 	БЕЛАЗ	kardan_540-2201010	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		540-2201010	936		#N/A			25 500	завод 'Иннова' Н.Челны					22 000	восстановленный	/kardanyi_valy/img/kamkardan/	540-2201010-936mm.jpg							Макс. крутящий момент без деформации, Н•м	13000	Макс. крутящий момент без разрушения, Н•м	18000	Внутренний диаметр и толщина стенки трубы, мм	105 х 6	Диаметр окружности описанной элементами шарнира, мм	220	Угол поворота в шарнире 1, °	18	Угол поворота в шарнире 2, °	18	Масса, кг	58	Длина в полностью сжатом положении, мм	936	Рабочий ход в шлицевой паре, мм	47	Фланец	8*14*205*230	Крестовина	7522-2201025									0.25	0.25	0,94	58
27	Вал карданный 	БЕЛАЗ	kardan_540-2208012-03	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		540-2208012-03	172		#N/A			5 000	завод 'Иннова' Н.Челны					4 000	восстановленный	/kardanyi_valy/img/kamkardan/	540-2208012-03.jpg							Масса, кг	14.7	Длина в полностью сжатом положении, мм	172	Фланец	12*12.4*185*205	Крестовина	4310-2205025																							0.245	0.245	0,18	14.7
29	Вал карданный 	АЛТАЙСКИЙ ТРАКТОР	kardan_t4.36.003-3	/kardanyi_valy/catalog/altajskij-traktor/	/kardanyi_valy/catalog/altajskij-traktor/	altajskij-traktor	1	Т4.36.003-3	845		Т4.36.003-3 вал карданный	вал &quot;большой&quot; тракторов ТТ-4, ТТ-4М		6 000	завод 'Иннова' Н.Челны							/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	4510	Макс. крутящий момент без разрушения, Н•м	5880	Внутренний диаметр и толщина стенки трубы, мм	71 хЗ	Диаметр окружности описанной элементами шарнира, мм	160	Угол поворота в шарнире 1, °	15	Угол поворота в шарнире 2, °	15	Масса, кг	14	Длина в полностью сжатом положении, мм	845	Фланец	695Н-2201023	Крестовина	130-2201025-02	Вилка скользящая	Т4.36.110А									0.2	0.2	0,85	14
31	Вал карданный 	БЕЛАЗ	kardan_5480-2205011-10	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		5480-2205011-10	1867		#N/A			25 300	завод 'Иннова' Н.Челны					22 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	25000	Масса, кг	63.5	Длина в полностью сжатом положении, мм	1867	Рабочий ход в шлицевой паре, мм	110	Аналог вала №	RS.93655.04.02																					0.245	0.245	1,87	63.5
